"","Date","dinflow","Alt"
"1",1921-10-31,"9612.0229914983956","EXP1 090623"
"2",1921-11-30,"9816.4107338826489","EXP1 090623"
"3",1921-12-31,"33411.541772130964","EXP1 090623"
"4",1922-01-31,"30229.088738003713","EXP1 090623"
"5",1922-02-28,"87051.801811283935","EXP1 090623"
"6",1922-03-31,"66344.917493546862","EXP1 090623"
"7",1922-04-30,"61590.578470329063","EXP1 090623"
"8",1922-05-31,"52503.933532573588","EXP1 090623"
"9",1922-06-30,"21811.663961028065","EXP1 090623"
"10",1922-07-31,"7722.8251561297229","EXP1 090623"
"11",1922-08-31,"7720.5487189265486","EXP1 090623"
"12",1922-09-30,"10523.13407376165","EXP1 090623"
"13",1922-10-31,"10778.126444322335","EXP1 090623"
"14",1922-11-30,"15286.37784270201","EXP1 090623"
"15",1922-12-31,"58354.854001254236","EXP1 090623"
"16",1923-01-31,"51458.3434191411","EXP1 090623"
"17",1923-02-28,"33104.769493449407","EXP1 090623"
"18",1923-03-31,"22950.771215571458","EXP1 090623"
"19",1923-04-30,"50148.685509540577","EXP1 090623"
"20",1923-05-31,"18458.678500056463","EXP1 090623"
"21",1923-06-30,"10709.830511063683","EXP1 090623"
"22",1923-07-31,"4795.4294209925029","EXP1 090623"
"23",1923-08-31,"4267.3121841856864","EXP1 090623"
"24",1923-09-30,"10517.111326305643","EXP1 090623"
"25",1923-10-31,"7483.9512683283792","EXP1 090623"
"26",1923-11-30,"6800.9664329145426","EXP1 090623"
"27",1923-12-31,"8903.357794429965","EXP1 090623"
"28",1924-01-31,"13467.047087606459","EXP1 090623"
"29",1924-02-29,"24291.212877558846","EXP1 090623"
"30",1924-03-31,"10127.638868763381","EXP1 090623"
"31",1924-04-30,"6807.8303206183818","EXP1 090623"
"32",1924-05-31,"3770.5082250670239","EXP1 090623"
"33",1924-06-30,"3747.0001159602198","EXP1 090623"
"34",1924-07-31,"4535.1572798096231","EXP1 090623"
"35",1924-08-31,"3977.4246104765621","EXP1 090623"
"36",1924-09-30,"4331.866375689634","EXP1 090623"
"37",1924-10-31,"8268.0019901309824","EXP1 090623"
"38",1924-11-30,"10218.602120141504","EXP1 090623"
"39",1924-12-31,"17733.94449081106","EXP1 090623"
"40",1925-01-31,"18442.10539758455","EXP1 090623"
"41",1925-02-28,"123258.735300517","EXP1 090623"
"42",1925-03-31,"36636.258654687859","EXP1 090623"
"43",1925-04-30,"51127.692069950579","EXP1 090623"
"44",1925-05-31,"23491.515217193373","EXP1 090623"
"45",1925-06-30,"7217.9591058458691","EXP1 090623"
"46",1925-07-31,"4840.2429929774289","EXP1 090623"
"47",1925-08-31,"4254.9249085994315","EXP1 090623"
"48",1925-09-30,"9514.5040624199519","EXP1 090623"
"49",1925-10-31,"6194.3231706072575","EXP1 090623"
"50",1925-11-30,"8265.692018000309","EXP1 090623"
"51",1925-12-31,"11222.088077966","EXP1 090623"
"52",1926-01-31,"20556.173011260264","EXP1 090623"
"53",1926-02-28,"75199.596401117451","EXP1 090623"
"54",1926-03-31,"22289.045076367656","EXP1 090623"
"55",1926-04-30,"43016.194386154304","EXP1 090623"
"56",1926-05-31,"11100.55416002719","EXP1 090623"
"57",1926-06-30,"4484.6202432237797","EXP1 090623"
"58",1926-07-31,"4840.2429929774289","EXP1 090623"
"59",1926-08-31,"4243.492224076098","EXP1 090623"
"60",1926-09-30,"6134.1809307459325","EXP1 090623"
"61",1926-10-31,"5663.4680722514422","EXP1 090623"
"62",1926-11-30,"40334.438907929507","EXP1 090623"
"63",1926-12-31,"30362.432763906738","EXP1 090623"
"64",1927-01-31,"53689.956833354903","EXP1 090623"
"65",1927-02-28,"181231.68951764092","EXP1 090623"
"66",1927-03-31,"79565.054594512359","EXP1 090623"
"67",1927-04-30,"75703.162344846394","EXP1 090623"
"68",1927-05-31,"22385.03561129341","EXP1 090623"
"69",1927-06-30,"9379.2848602939521","EXP1 090623"
"70",1927-07-31,"4849.3756875674444","EXP1 090623"
"71",1927-08-31,"4290.7105615305181","EXP1 090623"
"72",1927-09-30,"9022.6810729629487","EXP1 090623"
"73",1927-10-31,"8060.2577813996195","EXP1 090623"
"74",1927-11-30,"23574.094821255308","EXP1 090623"
"75",1927-12-31,"20380.505481819615","EXP1 090623"
"76",1928-01-31,"30283.033759441463","EXP1 090623"
"77",1928-02-29,"39323.552208286274","EXP1 090623"
"78",1928-03-31,"117018.76693768428","EXP1 090623"
"79",1928-04-30,"57726.222859535599","EXP1 090623"
"80",1928-05-31,"13647.435752230002","EXP1 090623"
"81",1928-06-30,"5788.5978334798674","EXP1 090623"
"82",1928-07-31,"4817.6922640665916","EXP1 090623"
"83",1928-08-31,"3806.9160183603394","EXP1 090623"
"84",1928-09-30,"6409.2957988486878","EXP1 090623"
"85",1928-10-31,"6295.2367955483178","EXP1 090623"
"86",1928-11-30,"12381.026471196523","EXP1 090623"
"87",1928-12-31,"13781.069521828649","EXP1 090623"
"88",1929-01-31,"14257.047074523178","EXP1 090623"
"89",1929-02-28,"25978.513677707","EXP1 090623"
"90",1929-03-31,"18836.841595560378","EXP1 090623"
"91",1929-04-30,"17144.945928932033","EXP1 090623"
"92",1929-05-31,"6543.3548000559849","EXP1 090623"
"93",1929-06-30,"4377.1933442060135","EXP1 090623"
"94",1929-07-31,"4531.3335669429753","EXP1 090623"
"95",1929-08-31,"3952.6900756400346","EXP1 090623"
"96",1929-09-30,"4871.8752778177732","EXP1 090623"
"97",1929-10-31,"3086.0098848600423","EXP1 090623"
"98",1929-11-30,"4611.6235226223889","EXP1 090623"
"99",1929-12-31,"46401.589188211459","EXP1 090623"
"100",1930-01-31,"43393.891660543632","EXP1 090623"
"101",1930-02-28,"32726.928655804651","EXP1 090623"
"102",1930-03-31,"53476.518146193222","EXP1 090623"
"103",1930-04-30,"21832.622300950232","EXP1 090623"
"104",1930-05-31,"12313.099917188716","EXP1 090623"
"105",1930-06-30,"4557.8558946059802","EXP1 090623"
"106",1930-07-31,"4840.242992977428","EXP1 090623"
"107",1930-08-31,"4112.2901006849788","EXP1 090623"
"108",1930-09-30,"7070.0322105186196","EXP1 090623"
"109",1930-10-31,"4767.98730502535","EXP1 090623"
"110",1930-11-30,"6908.0638181956801","EXP1 090623"
"111",1930-12-31,"6890.9943233792155","EXP1 090623"
"112",1931-01-31,"15607.935490018795","EXP1 090623"
"113",1931-02-28,"15588.257059933438","EXP1 090623"
"114",1931-03-31,"14739.012145228","EXP1 090623"
"115",1931-04-30,"7019.6676123093339","EXP1 090623"
"116",1931-05-31,"4394.2840932758536","EXP1 090623"
"117",1931-06-30,"3867.9812877095769","EXP1 090623"
